Lender Dealer ID,FHF dealer_id
150,867
371,1340
40,5
276,1011
369,1413
369,1292
258,982
93,NULL
311,1084
382,1356
232,1234
232,1117
149,864
162,17
162,895
162,18
219,1076
176,941
227,NULL
170,1275
170,925
179,940
259,829
5,762
1,24
45,24
139,853
363,1281
317,880
286,1331
290,1331
313,1102
91,801
130,848
340,1236
210,960
13,38
270,1002
177,943
207,NULL
280,1048
19,876
155,876
301,1054
23,40
364,1320
182,946
343,1245
178,942
374,1345
134,831
64,697
163,890
28,795
357,1271
123,756
191,177
61,47
62,455
303,1051
216,1165
268,993
284,851
360,1265
199,1148
35,49
306,1065
231,1115
231,1115
128,1115
128,1115
274,1008
387,717
342,1244
118,827
58,72
43,75
241,971
198,1364
356,709
96,81
344,1137
45,24
305,1062
132,849
185,NULL
316,1133
33,102
32,175
292,24
193,921
193,921
193,921
92,803
403,1383
263,986
183,947
240,969
323,1093
308,1081
192,951
271,1003
133,846
224,1064
224,1215
221,934
99,806
267,992
152,135
122,835
412,1261
302,1055
159,142
87,148
190,149
59,150
60,NULL
47,156
20,300
264,989
34,173
127,719
335,1201
383,1091
319,NULL
330,1206
279,983
293,1033
81,557
201,NULL
95,788
326,755
84,208
266,991
222,852
106,807
287,994
289,994
336,1198
120,1205
120,826
145,872
145,872
76,705
338,1079
388,1372
161,885
125,NULL
129,843
129,1094
332,1209
108,808
298,1037
31,227
157,451
55,230
78,231
72,232
51,669
307,1066
135,830
11,194
44,249
225,1411
350,1163
373,1159
297,1043
36,436
138,483
75,264
328,1196
370,1335
17,773
144,837
21,279
9,282
100,285
153,301
329,838
30,614
30,726
48,303
53,308
86,309
109,312
107,810
104,798
415,323
378,1349
414,1432
315,1149
220,NULL
39,791
195,997
327,1158
405,1390
341,1225
380,1354
282,1013
351,1254
234,975
88,NULL
88,NULL
27,344
288,1026
171,929
277,1027
407,784
407,1017
269,996
66,353
223,NULL
79,748
281,1030
275,1006
337,1200
206,NULL
339,1230
348,1256
300,1052
77,749
318,1131
184,NULL
173,939
110,693
82,761
38,395
38,974
98,125
400,1376
294,787
255,978
265,671
355,968
416,968
187,407
24,409
236,413
236,1386
212,1246
389,873
349,1255
218,1145
172,420
105,731
226,428
117,759
42,432
213,988
214,988
52,665
237,NULL
136,858
362,1268
362,1280
,443
160,882
233,904
233,449
296,987
194,955
156,451
345,1134
283,1014
272,1007
46,555
142,47
143,47
89,459
324,818
50,462
148,865
83,406
114,819
73,463
215,471
41,469
244,906
111,473
101,792
69,714
209,714
211,958
322,1197
140,859
140,702
375,1050
321,1104
291,1044
314,1101
285,1016
368,1274
239,1078
141,860
295,1028
309,1185
310,1177
204,1005
376,1339
65,907
65,507
115,824
278,1041
97,509
4,511
353,1199
325,1187
372,1107
379,57
386,990
377,1000
18,540
15,186
256,542
358,1269
208,953
181,945
257,981
57,546
361,1266
112,821
304,1061
113,823
205,963
229,1385
126,840
399,1365
384,1357
404,1086
71,746
71,914
299,1034
202,1257
352,1257
119,825
230,1092
230,1095
230,1121
333,1092
333,1095
333,1121
385,645
67,564
165,892
260,994
334,1343
68,715
29,579
90,724
166,686
217,964
243,999
273,1009
261,984
186,1326
70,778
25,594
200,1362
74,779
262,954
402,1380
401,1379
406,1389
103,861
365,1283
188,780
189,780
56,721
312,608
331,1203
367,1291
1234,1438
235,970
26,133
413,1057
381,1346
410,966
346,420
408,1403
366,1363
359,1305
359,1308
411,1384
37,NULL
409,1393
417,1412
94,752
102,672
137,862
354,1290
228,962
49,662
63,662
347,1250
320,1099
242,976
